"비경취업희망여부","비경취업가능성여부","기타활동사항_4주내비구직사유코드","기타활동사항_지난1년내구직활동유무","조사년월","연령5세단위코드","가중값","경제활동상태코드"
1,1,01,1,202008,02,0000366808,3
1,1,01,1,202008,02,0000468867,3
1,1,01,1,202008,02,0000484481,3
1,1,01,1,202008,02,0000515234,3
1,1,01,1,202008,02,0000601498,3
1,1,01,1,202008,02,0000645623,3
1,1,01,1,202008,02,0000741126,3
1,1,01,1,202008,02,0000915289,3
1,1,01,1,202008,02,0001213265,3
1,1,01,1,202008,02,0001309870,3
1,1,01,1,202008,02,0001504021,3
1,1,01,1,202008,02,0001704292,3
1,1,01,1,202008,03,0000438973,3
1,1,01,1,202008,03,0000438973,3
1,1,01,1,202008,03,0000465990,3
1,1,01,1,202008,03,0000465990,3
1,1,01,1,202008,03,0000508063,3
1,1,01,1,202008,03,0000556713,3
1,1,01,1,202008,03,0000556961,3
1,1,01,1,202008,03,0000635144,3
1,1,01,1,202008,03,0000685186,3
1,1,01,1,202008,03,0000685186,3
1,1,01,1,202008,03,0000744218,3
1,1,01,1,202008,03,0000744218,3
1,1,01,1,202008,03,0000965449,3
1,1,01,1,202008,03,0001262783,3
1,1,01,1,202008,03,0001296824,3
1,1,01,1,202008,03,0001396548,3
1,1,01,1,202008,03,0001396548,3
1,1,01,1,202008,03,0001575783,3
1,1,01,1,202008,03,0001761257,3
1,1,01,1,202008,03,0001761257,3
1,1,01,1,202008,03,0001761257,3
1,1,01,1,202008,03,0001761257,3
1,1,01,1,202008,04,0000173002,3
1,1,01,1,202008,04,0000427047,3
1,1,01,1,202008,04,0000541196,3
1,1,01,1,202008,04,0000565967,3
1,1,01,1,202008,04,0000601435,3
1,1,01,1,202008,04,0000634332,3
1,1,01,1,202008,04,0000653085,3
1,1,01,1,202008,04,0000702263,3
1,1,01,1,202008,04,0000791848,3
1,1,01,1,202008,04,0000885295,3
1,1,01,1,202008,04,0001053367,3
1,1,01,1,202008,04,0001130230,3
1,1,01,1,202008,04,0001479896,3
1,1,01,1,202008,04,0001479896,3
1,1,01,1,202008,04,0001479896,3
1,1,01,1,202008,04,0001479896,3
1,1,01,1,202008,04,0001615933,3
1,1,01,1,202008,05,0000524574,3
1,1,01,1,202008,05,0001459662,3
1,1,01,1,202008,05,0001797014,3
1,1,01,1,202008,06,0000450327,3
1,1,01,1,202008,06,0000610992,3
1,1,01,1,202008,06,0000668264,3
1,1,01,1,202008,07,0000388757,3
1,1,01,1,202008,07,0000484952,3
1,1,01,1,202008,07,0000525053,3
1,1,01,1,202008,07,0000721817,3
1,1,01,1,202008,07,0000792230,3
1,1,01,1,202008,07,0001019670,3
1,1,01,1,202008,07,0001262863,3
1,1,01,1,202008,08,0000469327,3
1,1,01,1,202008,08,0000537327,3
1,1,01,1,202008,08,0000786942,3
1,1,01,1,202008,08,0000859445,3
1,1,01,1,202008,08,0001351668,3
1,1,01,1,202008,08,0001484686,3
1,1,01,1,202008,09,0000394956,3
1,1,01,1,202008,09,0000484244,3
1,1,01,1,202008,09,0001268727,3
1,1,01,1,202008,09,0001301311,3
1,1,01,1,202008,09,0001485733,3
1,1,01,1,202008,10,0000832800,3
1,1,01,1,202008,11,0000483903,3
1,1,01,1,202008,11,0000560796,3
1,1,01,1,202008,11,0000603193,3
1,1,01,1,202008,11,0000610041,3
1,1,01,1,202008,11,0001200654,3
1,1,01,1,202008,11,0001268428,3
1,1,02,1,202008,01,0000340785,3
1,1,02,1,202008,01,0001552154,3
1,1,02,1,202008,02,0000141104,3
1,1,02,1,202008,02,0000354997,3
1,1,02,1,202008,02,0000457541,3
1,1,02,1,202008,02,0000468867,3
1,1,02,1,202008,02,0000476220,3
1,1,02,1,202008,02,0000484481,3
1,1,02,1,202008,02,0000515234,3
1,1,02,1,202008,02,0000529354,3
1,1,02,1,202008,02,0000602294,3
1,1,02,1,202008,02,0000632599,3
1,1,02,1,202008,02,0000632599,3
1,1,02,1,202008,02,0000657612,3
1,1,02,1,202008,02,0000680969,3
1,1,02,1,202008,02,0000725191,3
1,1,02,1,202008,02,0000725191,3
1,1,02,1,202008,02,0000851300,3
1,1,02,1,202008,02,0000949394,3
1,1,02,1,202008,02,0000949394,3
1,1,02,1,202008,02,0000956995,3
1,1,02,1,202008,02,0000962272,3
1,1,02,1,202008,02,0000967604,3
1,1,02,1,202008,02,0000979516,3
1,1,02,1,202008,02,0000995617,3
1,1,02,1,202008,02,0000995617,3
1,1,02,1,202008,02,0001031482,3
1,1,02,1,202008,02,0001039359,3
1,1,02,1,202008,02,0001039359,3
1,1,02,1,202008,02,0001039359,3
1,1,02,1,202008,02,0001147488,3
1,1,02,1,202008,02,0001309870,3
1,1,02,1,202008,02,0001439686,3
1,1,02,1,202008,02,0001504021,3
1,1,02,1,202008,02,0001704292,3
1,1,02,1,202008,02,0001704292,3
1,1,02,1,202008,02,0001704292,3
1,1,02,1,202008,03,0000438973,3
1,1,02,1,202008,03,0000438973,3
1,1,02,1,202008,03,0000442595,3
1,1,02,1,202008,03,0000489884,3
1,1,02,1,202008,03,0000508063,3
1,1,02,1,202008,03,0000515248,3
1,1,02,1,202008,03,0000536792,3
1,1,02,1,202008,03,0000536792,3
